Project_No,UAW,UUCW,TCF,ECF,Real_P20,Effort,DataDonator,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,ENV1,ENV2,ENV3,ENV4,ENV5,ENV6,ENV7,ENV8,PDR
39,18,610,0.72,0.67,312,6240,D2,0,2,0,0,0,0,0,1,0,0,4,1,1,0,0,1,4,5,4,2,5,20
40,7,280,0.78,0.51,311.6,6232,D2,0,2,0,0,0,0,0,1,0,5,5,1,1,0,2,2,4,5,5,0,5,28
41,7,280,1.03,0.8,308.65,6173,D2,0,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,2,5,3,0,4,20
42,6,345,1,0.92,308,6160,D2,0,2,2,5,5,5,5,1,5,5,5,1,1,0,0,0,0,4,5,4,3,20
43,6,340,1.095,0.95,305.85,6117,D2,4,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,0,4,4,1,2,20
44,7,275,0.75,0.81,303.1,6062,D2,0,2,0,0,0,0,0,1,0,2,5,1,1,0,0,0,2,5,4,2,4,20
45,19,500,1.03,0.8,302.55,6051,D2,0,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,2,5,4,4,5,28
46,18,500,0.72,0.67,302.4,6048,D2,0,2,0,0,0,0,0,1,0,0,4,1,1,0,0,2,0,4,5,0,4,20
47,18,500,0.85,0.89,301.75,6035,D2,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,2,0,4,0,4,20
48,6,270,0.965,0.755,301.2,6024,D2,0,2,0,4,5,5,5,1,5,5,5,1,1,0,0,0,4,4,3,1,5,20
49,18,485,0.85,0.88,301.15,6023,D2,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,2,0,5,0,3,20
50,18,575,1.118,0.995,299.65,5993,D2,5,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,0,4,1,1,4,20
51,18,495,0.85,0.88,299.25,5985,D3,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,2,0,5,4,5,28
52,18,490,0.75,0.81,298.55,5971,D3,0,2,0,0,0,0,0,1,0,2,5,1,1,0,0,0,4,1,4,1,5,20
53,18,490,0.81,0.84,298.1,5962,D3,0,2,0,0,0,0,0,1,3,5,5,1,1,0,0,0,2,4,5,0,2,20
54,18,490,0.85,0.89,297.2,5944,D3,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,2,1,4,3,5,28
55,17,575,0.85,0.88,297,5940,D3,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,2,1,5,1,3,20
56,6,260,0.98,0.97,296.35,5927,D3,0,2,0,5,5,5,5,1,5,5,5,1,1,0,0,0,0,4,5,2,1,20
57,17,480,0.85,0.89,294.25,5885,D3,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,2,1,5,5,5,28
58,18,485,1.08,0.77,294.1,5882,D3,3,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,4,5,4,2,4,20
59,6,325,0.72,0.67,294,5880,D3,0,2,0,0,0,0,0,1,0,0,4,1,1,0,0,2,2,5,3,0,5,28
60,18,485,0.82,0.79,294,5880,D3,0,2,0,0,0,0,0,1,4,5,5,1,1,0,0,0,4,2,5,4,5,28
61,6,330,0.96,0.96,293.8,5876,D3,0,2,0,3,5,5,5,1,5,5,5,1,1,0,0,0,0,5,5,0,0,20
62,6,330,0.85,0.89,293.65,5873,D3,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,2,2,4,2,4,28
63,18,485,1.095,0.95,293.25,5865,D3,4,2,4,5,5,5,5,1,5,5,5,1,1,0,0,0,0,5,5,4,2,20
64,18,480,0.965,0.755,293.15,5863,D3,0,2,0,4,5,5,5,1,5,5,5,1,1,0,0,1,0,1,5,1,5,28
65,18,480,0.98,0.97,292.8,5856,D3,0,2,0,5,5,5,5,1,5,5,5,1,1,0,0,0,0,5,3,3,3,20
66,18,460,1.05,0.95,290,5800,D3,1,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,2,0,3,2,5,20
67,17,565,1.03,0.8,289.55,5791,D3,0,2,5,5,5,5,5,1,5,5,5,1,1,0,0,0,4,4,2,0,5,20
68,19,475,0.95,0.92,289.1,5782,D3,0,2,0,2,5,5,5,1,5,5,5,1,1,0,0,0,2,1,5,2,3,20
69,6,250,1,0.92,288.9,5778,D3,0,2,2,5,5,5,5,1,5,5,5,1,1,0,0,0,2,1,5,4,4,28
70,18,460,0.85,0.89,288.75,5775,D3,0,2,0,0,0,0,4,1,5,5,5,1,1,0,0,0,2,3,4,1,3,20
